dataset,columna,tipo_dato,tipo_variable,n_filas,nulos_iniciales,pct_nulos_iniciales,invalidos_tipo_faltante,pct_invalidos_tipo_faltante,min_cuantitativa,max_cuantitativa,n_labels_categorica,comentario_usabilidad_calidad
df_raw_argenprop,cantidad_pisos_edificio,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,departamentos_por_piso,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,apto_credito,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,apto_profesional,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,permite_mascotas,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,accesibilidad,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,amoblado,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,balcon,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,terraza,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,patio,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,jardin,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,parrilla,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,pileta,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,sum,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,gimnasio,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,sauna,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,laundry,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,baulera,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,ascensor,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,seguridad_24h,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,vigilancia,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,aire_acondicionado,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,calefaccion,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,losa_radiante,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,gas_natural,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,agua_corriente,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,electricidad,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,cloaca,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,internet,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,vista_rio,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,vista_abierta,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,reciclado,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,a_refaccionar,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,video_url,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,tour_virtual_url,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,jsonld_raw,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,cocheras,float64,cuantitativa,162,159,98.15,0,0.0,1.0,2.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,superficie_cubierta_m2,float64,cuantitativa,162,155,95.68,0,0.0,31.47,200.0,,baja: faltantes muy altos; usar solo como referencia secundaria
