,pagina_origen,precio,desde,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,destacado,emprendimiento,unidades_disponibles,parse_warnings,posicion_pagina,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,cantidad_atributos,completitud_pct,precio_m2_ref,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,inmobiliaria_is_null,barrio_is_null,provincia_is_null,ambientes_min_is_null,ambientes_max_is_null,banios_min_is_null,banios_max_is_null,dormitorios_min_is_null,dormitorios_max_is_null,superficie_min_m2_is_null,superficie_max_m2_is_null,tipo_superficie_is_null,posesion_is_null,unidades_disponibles_is_null,atributos_texto_is_null,parse_warnings_is_null,altura_is_null,comuna_is_null,precio_anterior_is_null,descuento_pct_is_null
superficie_max_m2,0.0009553799855745734,0.0031661586261400535,0.0010208564781489142,0.015462079485624471,0.015763595854521136,0.011316997728325211,0.011647456475480837,0.7329778233656048,0.7338819768472102,0.9999871157329427,1.0,-0.0003586626159160024,0.0007806486981283965,0.24262567350437592,,0.004541818944953251,0.0010670869246068692,0.0014757492061919452,-0.17116310872369694,-0.1350724309625303,-0.0005209798729844561,-0.0004972478484374008,0.0037046898125000973,0.0012265388475635834,0.000888677081044957,-0.008949022315221032,-0.001844883611627996,-0.0034431880696359587,0.0001755000187611111,0.00024755580491389465,-8.523992477718987e-05,0.0022894600839402945,-0.0012463638726474358,0.001419540844839404,0.00987028775209292,-0.0005209798729844561,0.9999871157329426,0.015462079485624471,0.011316997728325211,0.7329778233656048,-0.010466381745099186,-0.0005258863116342085,3.785615040251188e-05,-0.0008244481351119526,-0.0008244481351119526,-0.0009373217219729161,-0.0009373217219729161,-0.001552559885321814,-0.001552559885321814,,,,-0.0010780413680506922,-0.0010780413680506922,,,-0.002608566409115119,-0.0011258510191707418,0.00033290424783775837,0.00033290424783775837
destacado,-0.18358852049687147,0.02885186261303189,0.2503694431434841,0.03264701921289168,0.07400959856612857,0.08444046032987622,0.12294378165738626,-0.10673189931571812,-0.1039513186495254,-0.0012488360231247156,-0.0003586626159160024,1.0,0.231629962600906,0.1402925969011718,,-0.002253007546668196,0.003407581079836281,0.07929563482813788,-0.06599442977949521,0.06462366120660408,0.0006982696768440553,0.003933543187161232,0.17535862921894688,0.24288303131428332,0.21156831627859465,-0.03857599894491413,0.009926121185334676,-0.010227501120187003,0.04080543816499332,0.013749974426068965,0.023499764073617715,0.0684009219329561,0.03645190291144724,0.021914636319384423,0.24669904066183118,0.0006982696768440553,-0.001248836023124716,0.03264701921289171,0.0844404603298762,-0.10673189931571815,-0.26625388341650036,-0.011296606931211324,0.006508230957329644,-0.029194388169682707,-0.029194388169682707,-0.006683555687258957,-0.006683555687258957,-0.06149152643883295,-0.06149152643883295,-0.0074128182349976895,-0.0074128182349976895,-0.0074128182349976895,-0.25533984226635653,-0.25533984226635653,0.0007365853976893397,,0.03125694963703422,0.05429250683345266,0.010451069960951045,0.010451069960951045
emprendimiento,-0.13714003735905153,-0.004370866821931975,0.9062700208485731,-0.10045135593704195,0.044732966693871404,-0.02829280232464205,0.10303123826291642,-0.13408751374177597,-0.13126489190435936,-0.0021770669552839722,0.0007806486981283965,0.231629962600906,1.0,,,-0.00930740436056412,0.008218766881423374,0.0689572152032865,,,-0.00600524241795994,0.004682774784807396,0.5826539038093237,0.8602428817224236,0.7584805153541373,-0.017383495160169814,-0.039977558872793396,-0.07135916876662861,-0.030248179159949002,-0.004365844001051254,-0.00697410807085949,-0.05985950240170681,0.02471195694158784,0.019248250635661653,0.14048087052268488,-0.00600524241795994,-0.0021770669552839722,-0.10045135593704196,-0.02829280232464203,-0.13408751374177594,-0.15118835427311894,0.009628033581679985,0.024364721554824397,-0.0034761840884200428,-0.0034761840884200428,-0.02214424947023261,-0.02214424947023261,-0.2043336987218099,-0.2043336987218099,-0.001792450638018226,-0.001792450638018226,-0.001792450638018226,-0.9172723330498095,-0.9172723330498095,-0.001798805656059207,,-0.04630756720781844,0.03313975213244117,0.005690650934811816,0.005690650934811816
unidades_disponibles,-0.08888264156626971,-0.1760591325888085,,-0.18701681898770312,0.08393431835084293,-0.05171444697227963,0.1943470373454222,0.21922566783375408,0.2076744079434241,-0.2452572475557629,0.24262567350437592,0.1402925969011718,,1.0,,0.05402391607046246,0.04540036465186873,0.0020741775120008874,,,-0.36659546282984956,-0.02278466428866968,0.3853378281872341,0.273412701160167,0.14774418014814503,0.07643375852440881,,-0.02526124272127684,0.06881631202048671,0.050732268233983656,0.0010699078905661342,-0.04902420858410856,0.1730429273232986,0.02620839409980348,0.03823905974590817,-0.36659546282984956,-0.24525724755576286,-0.1870168189877031,-0.05171444697227963,0.21922566783375413,-0.03044655845656597,-0.015404324620380858,-0.001058854485322917,-0.026546446217053533,-0.026546446217053533,-0.03542528471520155,-0.03542528471520155,-0.16814653233920793,-0.16814653233920793,0.06653902926688296,0.06653902926688296,0.06653902926688296,,,,,0.0741752015851408,-0.01571682837361127,,
parse_warnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posicion_pagina,-0.016906100557062223,0.001205182363490032,-0.008237899513271776,-0.003947778836161958,-0.0041675314953621,0.003179927223441588,0.0019432350218398467,-0.1460712458284153,-0.14159593393079978,0.004539786941313247,0.004541818944953251,-0.002253007546668196,-0.00930740436056412,0.05402391607046246,,1.0,-0.004501224099718305,-0.004335466024384821,-0.06464927465704434,0.21841987271099902,-0.0024577441434037468,-0.0026578363012754415,0.00040559136319088943,-0.007056978777346903,-0.0053394321540443605,0.0058015322686739415,-0.008325198782736796,0.00823456050126264,0.003634097071220202,0.002770698662243946,-0.0018376662115521082,0.002679934049313052,-0.0058133120265096375,-0.013371626961617531,-0.0007646451587308139,-0.0024577441434037468,0.004539786941313249,-0.003947778836161961,0.0031799272234415837,-0.14607124582841535,-0.004713106408779278,-0.003671154564106493,0.006334499002368471,0.0048343232416381,0.0048343232416381,0.013938902009859564,0.013938902009859564,-0.0003138545474134575,-0.0003138545474134575,-0.0030117464092411345,-0.0030117464092411345,-0.0030117464092411345,0.009398137268579012,0.009398137268579012,0.0028873939604729232,,0.01000915243776902,0.003746362515262433,-2.866591696458693e-05,-2.866591696458693e-05
altura,-0.048286128273233225,0.02368173961959782,0.006024915300701797,-0.015666592684760745,-0.014452990033588214,-0.013209244761847025,-0.012149570050460289,-0.05666781665515323,-0.05911871189361881,0.0010795268549837966,0.0010670869246068692,0.003407581079836281,0.008218766881423374,0.04540036465186873,,-0.004501224099718305,1.0,0.33409460538899355,-0.09031109270433078,0.35995116473593736,0.029694825338672147,0.029652904674100873,-0.002570966025333347,0.005528737786090009,0.00933645213578245,-0.022768699304835775,0.0076099056981437365,0.028957293195393165,0.03545944533441694,0.01887165713612517,0.037030876528650294,-0.011060818542608732,0.014412053966860218,0.007765417132860752,-0.044706639524170824,0.029694825338672147,0.0010795268549837972,-0.01566659268476073,-0.013209244761847037,-0.05666781665515324,0.05326620371431319,0.0024668744420236247,-0.006180578256745172,-0.011315362003474543,-0.011315362003474543,0.00018210516241205075,0.00018210516241205075,0.006524992194026758,0.006524992194026758,-0.008197816312921507,-0.008197816312921507,-0.008197816312921507,-0.006737364236056348,-0.006737364236056348,-0.00868802743297393,,,-0.016611763205801613,0.0065479204747417395,0.0065479204747417395
comuna,0.09794919163269748,0.00042092782729962565,0.05738353453012703,-0.06130085726047716,-0.052269654814115246,-0.010885098757004946,-0.0018704298893279841,-0.14633310850108625,-0.14192637314809034,0.001308008141373898,0.0014757492061919452,0.07929563482813788,0.0689572152032865,0.0020741775120008874,,-0.004335466024384821,0.33409460538899355,1.0,-0.596674360368595,0.05740127600899971,0.009319363180901473,0.009631574881583093,0.03419648936877678,0.05848048489547918,0.05444432941553966,-0.01068735815160708,-0.031448328268677564,0.05407472640530403,0.08540915888307814,0.04921164691143491,0.08520164391079695,0.0035825691912006333,0.06739647832859398,0.032112318064193325,0.07718592095923892,0.009319363180901473,0.001308008141373898,-0.06130085726047719,-0.010885098757004955,-0.14633310850108627,-0.07051844985690665,,,-0.026924095291932806,-0.026924095291932806,-0.02156586092630618,-0.02156586092630618,-0.007481231402180596,-0.007481231402180596,-0.009893314438454521,-0.009893314438454521,-0.009893314438454521,-0.05845439680268365,-0.05845439680268365,-0.0008467519958765939,,-0.0017154398324961593,,-0.005977101817579973,-0.005977101817579973
precio_anterior,0.28830319193949594,-0.11026361189576778,,-0.1413748303249532,-0.1413748303249532,-0.0887749924932889,-0.0887749924932889,,,-0.17116310872369694,-0.17116310872369694,-0.06599442977949521,,,,-0.06464927465704434,-0.09031109270433078,-0.596674360368595,1.0,0.07351239291001578,0.09307216127852916,0.09307216127852916,,,,-0.08195219918888218,-0.07015256032041828,0.021788021081327182,-0.09030584162768913,,,-0.06958905871556878,-0.03576604859948229,0.04586937166582017,-0.014225276361778465,0.09307216127852916,-0.17116310872369694,-0.1413748303249532,-0.08877499249328884,,0.05065884579373618,,,-0.04586937166581992,-0.04586937166581992,,,,,,,,,,,,-0.0835198352324483,-0.19646344975186178,,
descuento_pct,-0.3863551087369406,0.027232610905646906,,0.14898118703947894,0.14898118703947894,0.10429450386611788,0.10429450386611788,,,-0.1350724309625303,-0.1350724309625303,0.06462366120660408,,,,0.21841987271099902,0.35995116473593736,0.05740127600899971,0.07351239291001578,1.0,0.2141775624501973,0.2141775624501973,,,,0.07582124128788098,0.07670668011210809,0.15757636591980392,-0.3005574807158733,,,0.07453279455423828,0.03677793482706169,-0.03512376384048063,0.02168172857816667,0.2141775624501973,-0.1350724309625303,0.14898118703947888,0.10429450386611787,,-0.052291596569639366,,,0.035123763840480764,0.035123763840480764,,,,,,,,,,,,-0.34912007473483136,0.20596760578750634,,
