dataset,columna,n_labels_incluyendo_na,top_10_labels
df_raw_meli_alq,slug,9896,MLA-3906770142-alquiler-nunez-2-ambientes-con-balcon-_JM: 2 | MLA-3907705666-palacio-bellini-3-dormitorios-2-banos-toilette-cochera-pileta-gimnasio-sum-spa-palermo-_JM: 2 | MLA-3908849774-alquiler-torre-jaramillo-nunez-2-dormitorios-2-banos-completos-vigilancia-24hs-cochera-amenities-_JM: 2 | MLA-3899677810-departamento-en-venta-o-alquiler-en-villa-crespo-_JM: 2 | MLA-2051666689-3-dormitorios-2-cocheras-luminoso-pileta-balcon-con-parrilla-_JM: 2 | MLA-3903235206-departamento-en-alquiler-3-ambientes-con-terraza-en-belgrano-_JM: 2 | MLA-3907341824-alquiler-de-semipiso-con-vista-4-ambientes-2-cocheras-torre-de-gelly-palermo-chico-caba-_JM: 2 | MLA-3488353260-departamento-en-puerto-madero-2-ambientes-luminosos-de-133-m2-_JM: 2 | MLA-3809462546-departamento-4-ambientes-en-puerto-madero-_JM: 2 | MLA-3770584954-alquiler-departamento-3-amb-lateral-en-palermo-_JM: 2
df_raw_meli_alq,item_id,9877,MLA3906770142: 2 | MLA3907705666: 2 | MLA3908849774: 2 | MLA2055217129: 2 | MLA3899677810: 2 | MLA2051666689: 2 | MLA3903235206: 2 | MLA3907341824: 2 | MLA3488353260: 2 | MLA3809462546: 2
df_raw_meli_alq,imagen_principal,9866,https://http2.mlstatic.com/D_NQ_NP_2X_952213-MLA102668267865_122025-E.webp: 4 | https://http2.mlstatic.com/D_NQ_NP_2X_642798-MLA116938468503_082026-E.webp: 4 | https://http2.mlstatic.com/D_NQ_NP_2X_761162-MLA113791489220_072026-E.webp: 4 | https://http2.mlstatic.com/D_NQ_NP_2X_917077-MLA117074470613_092026-E.webp: 4 | https://http2.mlstatic.com/D_NQ_NP_2X_647508-MLA107526942951_022026-E.webp: 3 | https://http2.mlstatic.com/D_NQ_NP_2X_728253-MLA115286533653_072026-E.webp: 3 | https://http2.mlstatic.com/D_NQ_NP_2X_875853-MLA117092994005_092026-E.webp: 3 | https://http2.mlstatic.com/D_NQ_NP_2X_861470-MLA115354722220_082026-E.webp: 3 | https://http2.mlstatic.com/D_NQ_NP_2X_659510-MLA112732929456_062026-E.webp: 2 | https://http2.mlstatic.com/D_NQ_NP_2X_617430-MLA117092597013_092026-E.webp: 2
df_raw_meli_alq,imagen_id,9866,D_NQ_NP_2X_952213-MLA102668267865_122025-E: 4 | D_NQ_NP_2X_642798-MLA116938468503_082026-E: 4 | D_NQ_NP_2X_761162-MLA113791489220_072026-E: 4 | D_NQ_NP_2X_917077-MLA117074470613_092026-E: 4 | D_NQ_NP_2X_647508-MLA107526942951_022026-E: 3 | D_NQ_NP_2X_728253-MLA115286533653_072026-E: 3 | D_NQ_NP_2X_875853-MLA117092994005_092026-E: 3 | D_NQ_NP_2X_861470-MLA115354722220_082026-E: 3 | D_NQ_NP_2X_659510-MLA112732929456_062026-E: 2 | D_NQ_NP_2X_617430-MLA117092597013_092026-E: 2
df_raw_meli_alq,direccion,8252,"Juana Manso Al 1500, Puerto Madero, Capital Federal: 34 | Mexico Al 55, Puerto Madero, Capital Federal: 26 | Juana Manso Al 1400, Puerto Madero, Capital Federal: 22 | Huergo Al 400, Puerto Madero, Capital Federal: 21 | Venezuela Al 50, Puerto Madero, Capital Federal: 19 | Juana Manso 1551, Puerto Madero, Capital Federal: 13 | Av Del Libertador Al 7000, Núñez, Capital Federal: 12 | Juana Manso 1100, Puerto Madero, Capital Federal: 12 | Laprida Al 1708. Entre Juncal Y French, Recoleta, Capital Federal: 12 | Comodoro Pedro Zanni Al 300, Retiro, Capital Federal: 12"
df_raw_meli_alq,titulo,8053,Departamento En Palermo: 99 | Departamento En Recoleta: 60 | Departamento En Belgrano: 45 | Departamento En Alquiler En Belgrano: 42 | Departamento En Alquiler En Recoleta: 40 | Departamentos Alquiler Recoleta: 36 | Departamento En Caballito: 35 | Departamento En Alquiler: 28 | Departamento En Alquiler En Palermo: 27 | Departamento En Alquiler En Caballito: 24
df_raw_meli_alq,calle,3934,Juana Manso Al: 95 | Juana Manso: 78 | Venezuela: 50 | Paraguay Al: 47 | Juncal Al: 45 | Comuna: 45 | Av. Rivadavia: 42 | Yerbal: 39 | Av. Corrientes: 38 | Paraguay: 37
df_raw_meli_alq,atributos_texto,1286,2 ambs. | 1 baño | 40 m² cubiertos: 489 | 1 amb. | 1 baño | 30 m² cubiertos: 337 | 2 ambs. | 1 baño | 45 m² cubiertos: 302 | 2 ambs. | 1 baño | 42 m² cubiertos: 245 | 2 ambs. | 1 baño | 38 m² cubiertos: 225 | 1 amb. | 1 baño | 35 m² cubiertos: 220 | 1 amb. | 1 baño | 32 m² cubiertos: 206 | 2 ambs. | 1 baño | 35 m² cubiertos: 200 | 1 amb. | 1 baño | 31 m² cubiertos: 198 | 1 amb. | 1 baño | 33 m² cubiertos: 189
df_raw_meli_alq,precio_texto,530,$ 650.000: 598 | $ 750.000: 556 | $ 700.000: 554 | $ 600.000: 527 | $ 800.000: 481 | $ 850.000: 360 | $ 550.000: 310 | $ 900.000: 295 | $ 1.100.000: 254 | $ 1.200.000: 243
df_raw_meli_alq,inmobiliaria,76,<NA>: 10251 | Remax Premium: 158 | Lepore: 125 | Sistema Coldwell Banker: 82 | Situar: 80 | Goldstein Propiedades: 54 | Mel Propiedades: 53 | Toribio Achaval: 49 | Interwin: 41 | Oppel Inmobiliaria: 34
df_raw_meli_alq,barrio,63,Palermo: 1331 | Recoleta: 1128 | Belgrano: 956 | Puerto Madero: 833 | Caballito: 802 | Villa Urquiza: 515 | Núñez: 486 | Almagro: 439 | Flores: 379 | Villa Crespo: 334
