,pagina_origen,precio,desde,ambientes_min,ambientes_max,banios_min,banios_max,dormitorios_min,dormitorios_max,superficie_min_m2,superficie_max_m2,destacado,emprendimiento,unidades_disponibles,parse_warnings,posicion_pagina,altura,comuna,precio_anterior,descuento_pct,precio_m2_min,precio_m2_max,amplitud_superficie_m2,es_rango_superficie,es_rango_ambientes,monoambiente,apto_credito,balcon,terraza,pileta,parrilla,cochera_mencionada,amenities_mencionadas,cantidad_atributos,completitud_pct,precio_m2_ref,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,inmobiliaria_is_null,barrio_is_null,provincia_is_null,ambientes_min_is_null,ambientes_max_is_null,banios_min_is_null,banios_max_is_null,dormitorios_min_is_null,dormitorios_max_is_null,superficie_min_m2_is_null,superficie_max_m2_is_null,tipo_superficie_is_null,posesion_is_null,unidades_disponibles_is_null,atributos_texto_is_null,parse_warnings_is_null,altura_is_null,comuna_is_null,precio_anterior_is_null,descuento_pct_is_null
superficie_max_m2,-0.005102475226115459,-0.05688914709844766,0.052101314601751235,0.7570488754364193,0.7608428252554907,0.3139083461123925,0.3163421357089846,0.4728289626969568,0.4728289626969568,0.9970320678304856,1.0,0.04934989166328891,0.05352486957198609,0.00572866650965706,,0.001457092918953676,0.0064228558225648815,-0.07054571516276913,-0.891124372687917,-0.9637320695330014,-0.12292033613402896,-0.12274936582096507,0.06289201631897273,0.04989436863842296,0.05271802525521578,-0.4297677259220563,-0.009930439254151477,-0.05653251909144002,0.031242011537719463,-0.03346699632456869,0.0007974675022917498,0.1565210979319508,-0.04282896301278381,0.07063092448136216,0.05994792527675687,-0.12292033613402896,0.9970320678304856,0.7570488754364191,0.31390834611239243,0.4728289626969568,-0.020600603500863873,-0.02490708944177179,0.021553402496615415,-0.081983690875546,-0.081983690875546,-0.005887697335530947,-0.005887697335530947,-0.0236934591775376,-0.0236934591775376,,,,-0.053524869571986065,-0.053524869571986065,,,0.06966412784164551,0.007907372738665024,0.0015011145987917297,0.0015011145987917297
destacado,-0.2852903277166607,0.07615258470466925,0.05157910982221987,0.03297219420208624,0.038079795941086896,0.04799641774211184,0.050622548254370514,0.28867513459481275,0.28867513459481275,0.04436673812410284,0.04934989166328891,1.0,0.06887695106056355,0.3042379316698415,,-0.10327840521928974,-0.0320097584675523,-0.05736154967627213,,,0.020721729253946927,0.02092925250358715,0.06580375403672765,0.06313267004325446,0.06287841749160633,0.005546666059444124,0.033355494548389264,0.017255277730305545,0.00695416832359715,-0.0002034611022635379,0.03335883360898603,0.07965417570623173,0.005659309641577659,0.07011627322357734,0.202245770652959,0.020721729253946927,0.04436673812410284,0.032972194202086254,0.047996417742111816,0.28867513459481287,-0.21121492501385655,-0.022114342534430235,0.008159972343954568,-0.06487950535497983,-0.06487950535497983,-0.0453263334986539,-0.0453263334986539,0.008401700335485597,0.008401700335485597,-0.007686901789020015,-0.007686901789020015,-0.007686901789020015,-0.06887695106056346,-0.06887695106056346,-0.009780822639118667,,0.02527322166028599,-0.008786772512546113,0.009780822639118805,0.009780822639118805
emprendimiento,-0.02474180792883716,-0.008748093407032916,0.7665305004928348,-0.012967909511343282,0.04884152748510433,-0.0031685646178729915,0.030677921162859716,0.28867513459481275,0.28867513459481275,-0.009926761363364152,0.05352486957198609,0.06887695106056355,1.0,,,-0.00871105052795288,-0.02142683803533912,-0.01910463690003395,,,-0.00880674941939302,-0.006071227947600642,0.8238576396495373,0.9486062413718319,0.836448757638022,-0.012570636980754925,-0.0011437231524416673,-0.014902080194897445,-0.006921596492039162,-0.006119164000974558,-0.004886097171301898,-0.008456726994228496,-0.00978788162235767,0.009191169918078581,0.05424075586548406,-0.00880674941939302,-0.009926761363364149,-0.012967909511343282,-0.003168564617872992,0.28867513459481287,-0.0661485892569959,-0.00261252900871603,0.3496308109112332,-0.008113868511726617,-0.008113868511726617,-0.005559008822319536,-0.005559008822319536,-0.09381102939703011,-0.09381102939703011,-0.0025615876829035316,-0.0025615876829035316,-0.0025615876829035316,-1.0,-1.0,-0.0008857809416111604,,-0.012206530735105327,0.06957187580578608,0.0008857809416117533,0.0008857809416117533
unidades_disponibles,-0.1580786015435128,-0.39356400235827094,,-0.26582405140849796,-0.1636440846880098,-0.3180669285639251,-0.021865563970349396,,,-0.4817865222030264,0.00572866650965706,0.3042379316698415,,1.0,,0.46481826762399975,-0.32640820517148295,0.03147265599341968,,,-0.4418385376205636,-0.22223010629302337,0.30525325810248227,0.3180669285639252,-0.2202946204204138,0.4909293897399717,,,,,,,,,0.3556768534729034,-0.4418385376205636,-0.4817865222030263,-0.26582405140849796,-0.3180669285639252,,-0.35567685347290395,,-0.12985027983931416,,,,,-0.7882528229627714,-0.7882528229627714,,,,,,,,0.1428996345721983,-0.12985027983931416,,
parse_warnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posicion_pagina,0.023581495005696933,-0.003236825346173149,0.016525881031577306,-0.007542310112761881,-0.007883177851491448,0.007720812888027409,0.007372222495851224,-0.44584015102296715,-0.44584015102296715,0.0018449551526778052,0.001457092918953676,-0.10327840521928974,-0.00871105052795288,0.46481826762399975,,1.0,0.011532658229054289,-0.015892303304286634,0.9765145973952987,0.913907655787026,-0.0005163312398723847,-0.0005296598826151716,-0.004992445970837063,-0.007420379419860084,-0.008675909589342178,0.012278071920732546,0.025390105247231533,0.004865726052885843,-0.002465975686485253,-0.026914065205914325,-0.022122690086303395,-0.005034386016091112,0.0037110976777903733,-0.000507151833359446,-0.021725526491275543,-0.0005163312398723847,0.0018449551526778078,-0.007542310112761888,0.007720812888027405,-0.4458401510229671,0.02918427963594883,-0.005749604761824989,-0.01588404632434802,0.0012029556286280256,0.0012029556286280256,0.0027933906017545565,0.0027933906017545565,-0.012197786173067432,-0.012197786173067432,0.00015758026267852343,0.00015758026267852343,0.00015758026267852343,0.008711050527952971,0.008711050527952971,-0.0012781888760341495,,0.006451985354938332,0.00963441514469083,0.009739643744187053,0.009739643744187053
altura,0.02044564128897425,0.017968489942028976,-0.019920766106729933,-0.000229124757698982,-0.0013932762698861286,-0.0041373682687956435,-0.00469170075448608,0.06461137603014609,0.06461137603014609,0.007811378880697774,0.0064228558225648815,-0.0320097584675523,-0.02142683803533912,-0.32640820517148295,,0.011532658229054289,1.0,0.2880767126013699,-1.0,-1.0,0.01329333480577525,0.013183850907768038,-0.01567555501052518,-0.018407226954766737,-0.014383779348353708,-0.015658963746068438,-0.004766801253199765,0.012924502865747757,0.010007965796866036,0.013885268328530886,0.0009044720075309651,0.000279251167259989,-0.009428070025128424,-0.03263677027922136,-0.019893412939007395,0.01329333480577525,0.0078113788806977585,-0.00022912475769898492,-0.004137368268795645,0.06461137603014602,-0.001986455492768631,-0.0012346496640483872,-0.0034168971285979638,0.03495210972297972,0.03495210972297972,0.002779761773210539,0.002779761773210539,0.013116433393854276,0.013116433393854276,0.006091801136089357,0.006091801136089357,0.006091801136089357,0.021426838035338982,0.021426838035338982,-0.006486207259840703,,,-0.036778114203095034,0.010479396156212222,0.010479396156212222
comuna,0.11599167052113946,-0.028158900388603598,-0.013646878991969943,-0.04891216735944805,-0.0491539391059325,-0.04396696972561662,-0.04426204457760514,-0.03575695093294706,-0.03575695093294706,-0.06992450233185726,-0.07054571516276913,-0.05736154967627213,-0.01910463690003395,0.03147265599341968,,-0.015892303304286634,0.2880767126013699,1.0,,,-0.02640092470313495,-0.026437278298601076,-0.012696323645109276,-0.01886056652024932,-0.008326541501972424,-0.004057977521067172,-0.010530762469990325,0.04284376447750276,0.026433350076799998,0.04777733291872733,0.051227558652643584,-0.016478458972662095,0.05889477471261408,-0.007176570864300251,-0.012122736801152174,-0.02640092470313495,-0.06992450233185728,-0.04891216735944807,-0.043966969725616624,-0.03575695093294705,0.009536594001091525,,,-0.0036439124174092656,-0.0036439124174092656,0.02104447407536407,0.02104447407536407,-0.0025449530610136945,-0.0025449530610136945,0.0005497785749742967,0.0005497785749742967,0.0005497785749742967,0.019104636900031842,0.019104636900031842,0.010568855690733662,,-0.01276545172301368,,0.016288772636535845,0.016288772636535845
precio_anterior,-0.9999999835730233,-0.5076000243686116,,-0.8661160178558537,-0.8661160178558537,,,,,-0.891124372687917,-0.891124372687917,,,,,0.9765145973952987,-1.0,,1.0,0.9799006024005937,0.9861044967224318,0.9861044967224318,,,,0.9999999835730233,,,,,,,,,,0.9861044967224318,-0.891124372687917,-0.8661160178558537,,,,,,,,,,,,,,,,,,,-0.5001569646025484,-0.9999999835730233,,
descuento_pct,-0.9798644280846676,-0.669273591769185,,-0.9484194740622038,-0.9484194740622038,,,,,-0.9637320695330014,-0.9637320695330014,,,,,0.913907655787026,-1.0,,0.9799006024005937,1.0,0.9994243063018193,0.9994243063018193,,,,0.9798644280846673,,,,,,,,,,0.9994243063018193,-0.9637320695330014,-0.9484194740622037,,,,,,,,,,,,,,,,,,,-0.6628462878788224,-0.9798644280846673,,
