,amplitud_superficie_m2_is_null,es_rango_superficie_is_null,precio_m2_max_is_null,precio_m2_min_is_null,precio_m2_ref_is_null,superficie_max_m2_is_null,superficie_min_m2_is_null,superficie_ref_m2_is_null,tipo_superficie_is_null,posesion_is_null,unidades_disponibles_is_null,estado_entrega_is_null,ambientes_max_is_null,ambientes_min_is_null,ambientes_ref_is_null,es_rango_ambientes_is_null,banios_max_is_null,banios_min_is_null,banios_ref_is_null,dormitorios_max_is_null,dormitorios_min_is_null,dormitorios_ref_is_null,barrio_is_null,barrio_norm_is_null,descuento_pct_is_null
ambientes_ref_is_null,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.0038375540792805795,0.0038375540792805795,0.0058576612571629065,1.0,1.0,1.0,1.0,0.10309733958543073,0.10309733958543073,0.10309733958543073,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,0.06147861282620581,0.06147861282620581,-0.003339857690821259
es_rango_ambientes_is_null,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.022859354031011546,0.0038375540792805795,0.0038375540792805795,0.0058576612571629065,1.0,1.0,1.0,1.0,0.10309733958543073,0.10309733958543073,0.10309733958543073,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,0.06147861282620581,0.06147861282620581,-0.003339857690821259
banios_max_is_null,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.020240003001970413,0.020240003001970413,0.012335756064885012,0.10309733958543073,0.10309733958543073,0.10309733958543073,0.10309733958543073,1.0,1.0,1.0,-0.0013474456008664398,-0.0013474456008664398,-0.0013474456008664398,0.025049148536993367,0.025049148536993367,0.004496515309787046
banios_min_is_null,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.02566506875228062,0.020240003001970413,0.020240003001970413,0.012335756064885012,0.10309733958543073,0.10309733958543073,0.10309733958543073,0.10309733958543073,1.0,1.0,1.0,-0.0013474456008664398,-0.0013474456008664398,-0.0013474456008664398,0.025049148536993367,0.025049148536993367,0.004496515309787046
banios_ref_is_null,0.025665068752280612,0.025665068752280612,0.025665068752280612,0.025665068752280612,0.025665068752280612,0.025665068752280612,0.025665068752280612,0.025665068752280612,0.025665068752280612,0.020240003001970413,0.020240003001970413,0.01233575606488501,0.10309733958543073,0.10309733958543073,0.10309733958543073,0.10309733958543073,1.0,1.0,1.0,-0.0013474456008664387,-0.0013474456008664387,-0.0013474456008664398,0.025049148536993367,0.025049148536993367,0.004496515309787028
dormitorios_max_is_null,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,0.22369222440756087,0.22369222440756087,0.13700867208857548,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,-0.0013474456008664398,-0.0013474456008664398,-0.0013474456008664387,1.0,1.0,1.0,-0.11404114106175983,-0.11404114106175985,-0.0020530443925562292
dormitorios_min_is_null,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,-0.008756424843731032,0.22369222440756087,0.22369222440756087,0.13700867208857548,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,-0.0013474456008664398,-0.0013474456008664398,-0.0013474456008664387,1.0,1.0,1.0,-0.11404114106175983,-0.11404114106175985,-0.0020530443925562292
dormitorios_ref_is_null,-0.008756424843731042,-0.008756424843731042,-0.008756424843731042,-0.008756424843731042,-0.008756424843731042,-0.008756424843731042,-0.008756424843731042,-0.008756424843731042,-0.008756424843731042,0.22369222440756095,0.22369222440756095,0.13700867208857545,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,-0.25651797949250055,-0.0013474456008664398,-0.0013474456008664398,-0.0013474456008664398,1.0,1.0,1.0,-0.11404114106175983,-0.11404114106175983,-0.0020530443925562297
barrio_is_null,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.012324113575415319,-0.012324113575415319,-0.0017561165855659517,0.06147861282620581,0.06147861282620581,0.06147861282620581,0.06147861282620581,0.025049148536993367,0.025049148536993367,0.025049148536993367,-0.11404114106175983,-0.11404114106175983,-0.11404114106175983,1.0,1.0,0.0018045638989208708
barrio_norm_is_null,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.0018491697955008975,-0.012324113575415319,-0.012324113575415319,-0.0017561165855659439,0.06147861282620581,0.06147861282620581,0.06147861282620581,0.06147861282620581,0.025049148536993367,0.025049148536993367,0.025049148536993367,-0.11404114106175985,-0.11404114106175985,-0.11404114106175983,1.0,1.0,0.0018045638989208684
descuento_pct_is_null,0.0009321341552451032,0.0009321341552451032,0.0009321341552451032,0.0009321341552451032,0.0009321341552451032,0.0009321341552450963,0.0009321341552450963,0.0009321341552451032,0.0009321341552450963,-0.005219876659549666,-0.005219876659549666,-0.00781630878969501,-0.003339857690821256,-0.003339857690821256,-0.003339857690821259,-0.003339857690821259,0.004496515309787046,0.004496515309787046,0.004496515309787028,-0.0020530443925562292,-0.0020530443925562292,-0.0020530443925562297,0.0018045638989208708,0.0018045638989208684,1.0
