,amplitud_superficie_m2_is_null,es_rango_superficie_is_null,precio_m2_max_is_null,precio_m2_min_is_null,precio_m2_ref_is_null,superficie_max_m2_is_null,superficie_min_m2_is_null,superficie_ref_m2_is_null,tipo_superficie_is_null,ambientes_max_is_null,ambientes_min_is_null,ambientes_ref_is_null,es_rango_ambientes_is_null,banios_max_is_null,banios_min_is_null,banios_ref_is_null,dormitorios_max_is_null,dormitorios_min_is_null,dormitorios_ref_is_null,barrio_is_null,barrio_norm_is_null,comuna_is_null,descuento_pct_is_null,inmobiliaria_is_null,precio_anterior_is_null
banios_min_is_null,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.08188124117672028,0.08188124117672028,0.08188124117672028,0.08188124117672028,1.0,1.0,1.0,-0.002003167008008664,-0.002003167008008664,-0.002003167008008664,-0.006598221296051169,-0.006598221296051169,-0.015172746809002359,-0.009074635531474891,0.008519573336273192,-0.009074635531474891
banios_ref_is_null,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.058989244065415065,0.08188124117672028,0.08188124117672028,0.08188124117672028,0.08188124117672028,1.0,1.0,1.0,-0.0020031670080086737,-0.0020031670080086737,-0.002003167008008664,-0.006598221296051169,-0.006598221296051169,-0.015172746809002359,-0.009074635531474884,0.008519573336273192,-0.009074635531474884
dormitorios_max_is_null,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,-0.35151179369333896,-0.35151179369333896,-0.351511793693339,-0.351511793693339,-0.002003167008008664,-0.002003167008008664,-0.0020031670080086737,1.0,1.0,1.0,-0.38704712353775766,-0.3870471235377576,-0.12383264709098042,-0.0026251395367439465,-0.021223315053871462,-0.0026251395367439465
dormitorios_min_is_null,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,0.004055814095814209,-0.35151179369333896,-0.35151179369333896,-0.351511793693339,-0.351511793693339,-0.002003167008008664,-0.002003167008008664,-0.0020031670080086737,1.0,1.0,1.0,-0.38704712353775766,-0.3870471235377576,-0.12383264709098042,-0.0026251395367439465,-0.021223315053871462,-0.0026251395367439465
dormitorios_ref_is_null,0.004055814095814215,0.004055814095814215,0.004055814095814215,0.004055814095814215,0.004055814095814215,0.004055814095814215,0.004055814095814215,0.004055814095814215,0.004055814095814215,-0.35151179369333896,-0.35151179369333896,-0.35151179369333896,-0.35151179369333896,-0.002003167008008664,-0.002003167008008664,-0.002003167008008664,1.0,1.0,1.0,-0.38704712353775766,-0.38704712353775766,-0.12383264709098044,-0.0026251395367439564,-0.021223315053871462,-0.0026251395367439564
barrio_is_null,0.02467571192701549,0.02467571192701549,0.02467571192701549,0.02467571192701549,0.02467571192701549,0.02467571192701549,0.02467571192701549,0.02467571192701549,0.02467571192701549,0.132409324362489,0.132409324362489,0.132409324362489,0.132409324362489,-0.006598221296051169,-0.006598221296051169,-0.006598221296051169,-0.38704712353775766,-0.38704712353775766,-0.38704712353775766,1.0,1.0,0.3339531649130927,0.0020397750816224256,0.010561934513293111,0.0020397750816224256
barrio_norm_is_null,0.024675711927015488,0.024675711927015488,0.024675711927015488,0.024675711927015488,0.02467571192701549,0.024675711927015488,0.024675711927015488,0.02467571192701549,0.024675711927015488,0.132409324362489,0.132409324362489,0.132409324362489,0.132409324362489,-0.006598221296051169,-0.006598221296051169,-0.006598221296051169,-0.3870471235377576,-0.3870471235377576,-0.38704712353775766,1.0,1.0,0.3339531649130927,0.0020397750816224317,0.010561934513293111,0.0020397750816224317
comuna_is_null,2.3900934239570794e-05,2.3900934239570794e-05,2.3900934239570794e-05,2.3900934239570794e-05,2.3900934239570794e-05,2.3900934239568988e-05,2.3900934239568988e-05,2.3900934239570794e-05,2.3900934239568988e-05,0.03767435024207897,0.03767435024207897,0.03767435024207897,0.03767435024207897,-0.015172746809002359,-0.015172746809002359,-0.015172746809002359,-0.12383264709098042,-0.12383264709098042,-0.12383264709098044,0.3339531649130927,0.3339531649130927,1.0,-0.1396881627932868,0.015113688067955535,-0.1396881627932868
descuento_pct_is_null,0.002831627518208508,0.002831627518208508,0.002831627518208508,0.002831627518208508,0.002831627518208508,0.0028316275182085167,0.0028316275182085167,0.002831627518208508,0.0028316275182085167,-0.004573829680893563,-0.004573829680893563,-0.00457382968089357,-0.00457382968089357,-0.009074635531474891,-0.009074635531474891,-0.009074635531474884,-0.0026251395367439465,-0.0026251395367439465,-0.0026251395367439564,0.0020397750816224256,0.0020397750816224317,-0.1396881627932868,1.0,-0.014817376120905045,1.0
inmobiliaria_is_null,0.014332916001699862,0.014332916001699862,0.014332916001699862,0.014332916001699862,0.014332916001699862,0.014332916001699862,0.014332916001699862,0.014332916001699862,0.014332916001699862,0.032074525125853,0.032074525125853,0.032074525125853,0.032074525125853,0.008519573336273192,0.008519573336273192,0.008519573336273192,-0.021223315053871462,-0.021223315053871462,-0.021223315053871462,0.010561934513293111,0.010561934513293111,0.015113688067955535,-0.014817376120905045,1.0,-0.014817376120905045
