,property_id,precio,comuna,latitud,longitud,ambientes,dormitorios,banios,toilettes,camas,capacidad,seller_id,rating,reviews,cantidad_imagenes,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,precio_noche_estimado,precio_mensual_estimado,precio_m2_ref,titulo_is_null,descripcion_is_null,barrio_is_null,barrio_norm_is_null,comuna_is_null,ambientes_is_null,dormitorios_is_null,banios_is_null,toilettes_is_null,camas_is_null,rating_is_null,reviews_is_null,superficie_ref_m2_is_null,ambientes_ref_is_null,banios_ref_is_null,dormitorios_ref_is_null,precio_m2_ref_is_null
precio_mensual_estimado,0.01889391246583618,0.9999999999999952,0.013804246332109436,-0.023075025416720546,-0.00446156665712649,0.02186325947477104,0.021863259474771066,0.02822390283390473,-0.00036123634948959516,0.022072497100128652,0.030924065606656174,-0.007761532525610558,-0.005378377172149623,-0.019440751399947526,0.0061660202665588405,,0.02186325947477104,0.02822390283390473,0.021863259474771066,0.9999999999999952,1.0,,-0.0006534608789075665,-0.0024881390421382017,-0.003354714398348118,-0.003354714398348118,-0.003354714398348118,-0.000951110130018949,-0.000951110130018949,-0.0013467497330759898,-0.0013467497330759898,-0.006737333982741802,0.06603730454574666,0.06603730454574666,,-0.000951110130018949,-0.0013467497330759898,-0.000951110130018949,
precio_m2_ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
titulo_is_null,0.014736013202276839,-0.0006534608789075693,-0.0019999515060510624,-0.006851508170630635,0.007812270477893085,-0.0008477117245386537,-0.0008477117245386482,-0.003067702346666895,-0.004996308360781263,-0.0034354606991007413,-0.0044081104422197806,-0.0019501956564173847,0.0005065741356067769,-0.010036794793723753,-0.005544931875293032,,-0.0008477117245386537,-0.003067702346666895,-0.0008477117245386482,-0.0006534608789075693,-0.0006534608789075665,,1.0,0.24578492863057846,-0.001298568428742727,-0.001298568428742727,-0.001298568428742727,-0.0002084636230977687,-0.0002084636230977687,-0.0003611448801541932,-0.0003611448801541932,-0.0020465410999133023,-0.006268708776881707,-0.006268708776881707,,-0.0002084636230977687,-0.0003611448801541932,-0.0002084636230977687,
descripcion_is_null,-0.07688483049113465,-0.0024881390421381874,0.004935234252413376,0.020975646980077936,-0.0048116491341984,-0.0034489991544640834,-0.0034489991544641254,0.0029928431056220296,0.0027254229715833705,-0.006365736920037221,-0.008778875462571766,-0.007934561676579526,-0.011632121417618314,-0.020745477128105573,-0.015215050395857407,,-0.0034489991544640834,0.0029928431056220296,-0.0034489991544641254,-0.0024881390421381874,-0.0024881390421382017,,0.24578492863057846,1.0,0.014669048492903267,0.014669048492903267,0.014669048492903267,-0.0008481546214377375,-0.0008481546214377375,-0.0014693532356371832,-0.0014693532356371832,0.0044843497968548645,0.008605209648335378,0.008605209648335378,,-0.0008481546214377375,-0.0014693532356371832,-0.0008481546214377375,
barrio_is_null,-0.0020191637331687553,-0.0033547143983481535,,0.03996972693533445,-0.10863980884085103,0.019392481726101723,0.019392481726102275,-0.0028637537629217715,-0.0008695185799834151,-0.0042710701114674465,0.008187223709524046,0.022870249630689347,0.020652928376456794,-0.017746922160571867,-0.021801064198936047,,0.019392481726101723,-0.0028637537629217715,0.019392481726102275,-0.0033547143983481535,-0.003354714398348118,,-0.001298568428742727,0.014669048492903267,1.0,1.0,1.0,-0.0012985684287427281,-0.0012985684287427281,-0.0022496555159187692,-0.0022496555159187692,-0.01274838084928332,0.04728066209156443,0.04728066209156443,,-0.0012985684287427281,-0.0022496555159187692,-0.0012985684287427281,
barrio_norm_is_null,-0.0020191637331687553,-0.0033547143983481535,,0.03996972693533445,-0.10863980884085103,0.019392481726101723,0.019392481726102275,-0.0028637537629217715,-0.0008695185799834151,-0.0042710701114674465,0.008187223709524046,0.022870249630689347,0.020652928376456794,-0.017746922160571867,-0.021801064198936047,,0.019392481726101723,-0.0028637537629217715,0.019392481726102275,-0.0033547143983481535,-0.003354714398348118,,-0.001298568428742727,0.014669048492903267,1.0,1.0,1.0,-0.0012985684287427281,-0.0012985684287427281,-0.0022496555159187692,-0.0022496555159187692,-0.01274838084928332,0.04728066209156443,0.04728066209156443,,-0.0012985684287427281,-0.0022496555159187692,-0.0012985684287427281,
comuna_is_null,-0.0020191637331687553,-0.0033547143983481535,,0.03996972693533445,-0.10863980884085103,0.019392481726101723,0.019392481726102275,-0.0028637537629217715,-0.0008695185799834151,-0.0042710701114674465,0.008187223709524046,0.022870249630689347,0.020652928376456794,-0.017746922160571867,-0.021801064198936047,,0.019392481726101723,-0.0028637537629217715,0.019392481726102275,-0.0033547143983481535,-0.003354714398348118,,-0.001298568428742727,0.014669048492903267,1.0,1.0,1.0,-0.0012985684287427281,-0.0012985684287427281,-0.0022496555159187692,-0.0022496555159187692,-0.01274838084928332,0.04728066209156443,0.04728066209156443,,-0.0012985684287427281,-0.0022496555159187692,-0.0012985684287427281,
ambientes_is_null,0.0018940519508421978,-0.0009511101300189486,-0.014311623488266964,-0.009134136271047534,0.007454495369212398,,,-0.003067702346666892,-0.004996308360781264,-0.003435460699100773,-0.004408110442219754,-0.0019501956577010159,0.005048663663242877,0.023807459105457108,0.0043209849660330955,,,-0.003067702346666892,,-0.0009511101300189486,-0.000951110130018949,,-0.0002084636230977687,-0.0008481546214377375,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,1.0,1.0,-0.0003611448801541931,-0.0003611448801541931,-0.0020465410999133,0.013492963175469353,0.013492963175469353,,1.0,-0.0003611448801541931,1.0,
dormitorios_is_null,0.0018940519508421978,-0.0009511101300189486,-0.014311623488266964,-0.009134136271047534,0.007454495369212398,,,-0.003067702346666892,-0.004996308360781264,-0.003435460699100773,-0.004408110442219754,-0.0019501956577010159,0.005048663663242877,0.023807459105457108,0.0043209849660330955,,,-0.003067702346666892,,-0.0009511101300189486,-0.000951110130018949,,-0.0002084636230977687,-0.0008481546214377375,-0.0012985684287427281,-0.0012985684287427281,-0.0012985684287427281,1.0,1.0,-0.0003611448801541931,-0.0003611448801541931,-0.0020465410999133,0.013492963175469353,0.013492963175469353,,1.0,-0.0003611448801541931,1.0,
banios_is_null,-0.003984985439765601,-0.0013467497330760072,0.006488752121435677,0.003959014311127514,0.003587340981243718,0.003423641158190626,0.0034236411581906826,,,0.008266242394323503,-0.0076366633837850455,-0.0033785423610342234,0.007842829487694688,0.003967940466580016,-0.0071957198122020675,,0.003423641158190626,,0.0034236411581906826,-0.0013467497330760072,-0.0013467497330759898,,-0.0003611448801541932,-0.0014693532356371832,-0.0022496555159187692,-0.0022496555159187692,-0.0022496555159187692,-0.0003611448801541931,-0.0003611448801541931,1.0,1.0,-0.0035454523397215583,0.023375371187156664,0.023375371187156664,,-0.0003611448801541931,1.0,-0.0003611448801541931,
