,amplitud_superficie_m2_is_null,es_rango_superficie_is_null,precio_m2_max_is_null,precio_m2_min_is_null,precio_m2_ref_is_null,superficie_max_m2_is_null,superficie_min_m2_is_null,superficie_ref_m2_is_null,tipo_superficie_is_null,estado_entrega_is_null,posesion_is_null,unidades_disponibles_is_null,ambientes_max_is_null,ambientes_min_is_null,ambientes_ref_is_null,es_rango_ambientes_is_null,banios_max_is_null,banios_min_is_null,banios_ref_is_null,dormitorios_max_is_null,dormitorios_min_is_null,dormitorios_ref_is_null,altura_is_null,comuna_is_null,barrio_is_null
ambientes_min_is_null,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.008510585674556318,0.008113868511726718,0.008113868511726718,1.0,1.0,1.0,1.0,0.16266797793547125,0.16266797793547125,0.16266797793547125,-0.18938770630704616,-0.18938770630704616,-0.18938770630704616,-0.055637915670706445,-0.02314755712185753,-0.013100189019352263
ambientes_ref_is_null,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.008510585674556318,0.008113868511726725,0.008113868511726725,1.0,1.0,1.0,1.0,0.16266797793547125,0.16266797793547125,0.16266797793547125,-0.1893877063070461,-0.1893877063070461,-0.18938770630704616,-0.055637915670706445,-0.023147557121857537,-0.013100189019352263
es_rango_ambientes_is_null,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.05286517076208997,0.008510585674556318,0.008113868511726725,0.008113868511726725,1.0,1.0,1.0,1.0,0.16266797793547125,0.16266797793547125,0.16266797793547125,-0.1893877063070461,-0.1893877063070461,-0.18938770630704616,-0.055637915670706445,-0.023147557121857537,-0.013100189019352263
banios_max_is_null,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.005830809407323616,0.005559008822319424,0.005559008822319424,0.16266797793547125,0.16266797793547125,0.16266797793547125,0.16266797793547125,1.0,1.0,1.0,0.005830809407323546,0.005830809407323546,0.005830809407323546,0.07293770667820053,0.005011697110405993,-0.00897525837735518
banios_min_is_null,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.06633568595749206,0.005830809407323616,0.005559008822319424,0.005559008822319424,0.16266797793547125,0.16266797793547125,0.16266797793547125,0.16266797793547125,1.0,1.0,1.0,0.005830809407323546,0.005830809407323546,0.005830809407323546,0.07293770667820053,0.005011697110405993,-0.00897525837735518
banios_ref_is_null,0.06633568595749205,0.06633568595749205,0.06633568595749205,0.06633568595749205,0.06633568595749205,0.06633568595749205,0.06633568595749205,0.06633568595749205,0.06633568595749205,0.005830809407323624,0.005559008822319428,0.005559008822319428,0.16266797793547125,0.16266797793547125,0.16266797793547125,0.16266797793547125,1.0,1.0,1.0,0.0058308094073235475,0.0058308094073235475,0.005830809407323546,0.07293770667820053,0.0050116971104059915,-0.00897525837735518
dormitorios_max_is_null,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.08929070605717358,0.09381102939703008,0.09381102939703008,-0.18938770630704616,-0.18938770630704616,-0.1893877063070461,-0.1893877063070461,0.005830809407323546,0.005830809407323546,0.0058308094073235475,1.0,1.0,1.0,0.022873589343605064,0.009080263337588882,0.002740265253721422
dormitorios_min_is_null,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.0026868332173158836,0.08929070605717358,0.09381102939703008,0.09381102939703008,-0.18938770630704616,-0.18938770630704616,-0.1893877063070461,-0.1893877063070461,0.005830809407323546,0.005830809407323546,0.0058308094073235475,1.0,1.0,1.0,0.022873589343605064,0.009080263337588882,0.002740265253721422
dormitorios_ref_is_null,0.0026868332173158854,0.0026868332173158854,0.0026868332173158854,0.0026868332173158854,0.0026868332173158854,0.0026868332173158854,0.0026868332173158854,0.0026868332173158854,0.0026868332173158854,0.0892907060571736,0.09381102939703007,0.09381102939703007,-0.18938770630704616,-0.18938770630704616,-0.18938770630704616,-0.18938770630704616,0.005830809407323546,0.005830809407323546,0.005830809407323546,1.0,1.0,1.0,0.02287358934360506,0.009080263337588856,0.002740265253721422
altura_is_null,-0.016283949076703202,-0.016283949076703202,-0.016283949076703202,-0.016283949076703202,-0.016283949076703202,-0.016283949076703202,-0.016283949076703202,-0.016283949076703202,-0.016283949076703202,0.013718829351563289,0.012206530735105086,0.012206530735105086,-0.055637915670706445,-0.055637915670706445,-0.055637915670706445,-0.055637915670706445,0.07293770667820053,0.07293770667820053,0.07293770667820053,0.022873589343605064,0.022873589343605064,0.02287358934360506,1.0,-0.02856265370019853,0.006524375639050399
comuna_is_null,-0.01370454630541666,-0.01370454630541666,-0.01370454630541666,-0.01370454630541666,-0.01370454630541666,-0.01370454630541666,-0.01370454630541666,-0.01370454630541666,-0.01370454630541666,-0.06551406985373588,-0.06957187580578546,-0.06957187580578546,-0.02314755712185753,-0.02314755712185753,-0.023147557121857537,-0.023147557121857537,0.005011697110405993,0.005011697110405993,0.0050116971104059915,0.009080263337588882,0.009080263337588882,0.009080263337588856,-0.02856265370019853,1.0,0.3017825752230623
barrio_is_null,-0.00413579327631228,-0.00413579327631228,-0.00413579327631228,-0.00413579327631228,-0.00413579327631228,-0.00413579327631228,-0.00413579327631228,-0.00413579327631228,-0.00413579327631228,0.0027402652537207735,0.0026125290087162596,0.0026125290087162596,-0.013100189019352263,-0.013100189019352263,-0.013100189019352263,-0.013100189019352263,-0.00897525837735518,-0.00897525837735518,-0.00897525837735518,0.002740265253721422,0.002740265253721422,0.002740265253721422,0.006524375639050399,0.3017825752230623,1.0
