dataset,columna,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
df_raw_meli_alq_temp,terraza,6190.0,0.028756058158319872,0.1671336590430117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_alq_temp,pileta,6190.0,0.022617124394184167,0.14869149885942018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_alq_temp,parrilla,6190.0,0.014539579967689823,0.11971004839345852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_alq_temp,cochera_mencionada,6190.0,0.04232633279483037,0.20134886103557242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_alq_temp,amenities_mencionadas,6190.0,0.055896607431340874,0.22974051335920634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_alq_temp,cantidad_atributos,6190.0,2.939741518578352,0.263747428115863,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
df_raw_meli_alq_temp,completitud_pct,6190.0,86.21521809369955,5.981467399127134,42.9,71.4,71.4,85.7,85.7,85.7,100.0,100.0,100.0
df_raw_meli_vtas,pagina_origen,44013.0,16.45502465180742,11.48902465304933,1.0,1.0,2.0,7.0,14.0,25.0,38.0,42.0,42.0
df_raw_meli_vtas,precio,44013.0,223819.36366528072,1189750.2690183474,1100.0,44000.0,59000.0,92000.0,138000.0,225000.0,590000.0,1390000.0,174988000.0
df_raw_meli_vtas,desde,44013.0,0.029763933383318564,0.16993733490040702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_vtas,ambientes_min,43457.0,2.5343212831074395,1.3099492168104685,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,44.0
df_raw_meli_vtas,ambientes_max,43457.0,2.5702188370112986,1.3070379299342185,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,44.0
df_raw_meli_vtas,banios_min,43056.0,1.3990384615384615,0.7906538044216016,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,43.0
df_raw_meli_vtas,banios_max,43056.0,1.4190821256038648,0.8047311345695682,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,43.0
df_raw_meli_vtas,dormitorios_min,203.0,2.497536945812808,2.889678429874801,1.0,1.0,1.0,1.0,2.0,3.0,4.0,10.919999999999959,31.0
df_raw_meli_vtas,dormitorios_max,203.0,2.5073891625615765,2.8879563127988006,1.0,1.0,1.0,1.0,2.0,3.0,4.0,10.919999999999959,31.0
df_raw_meli_vtas,superficie_min_m2,43971.0,81.19619749380273,2773.085650781952,1.0,21.0,27.0,38.0,52.0,77.0,155.0,265.0,580000.0
df_raw_meli_vtas,superficie_max_m2,43971.0,82.74396761501899,2773.1020724776745,1.0,21.0,28.0,39.0,53.0,78.0,160.0,270.0,580000.0
df_raw_meli_vtas,destacado,44013.0,0.21809465385227092,0.41295671737392664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_vtas,emprendimiento,44013.0,0.034376207029741215,0.18219560267573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_vtas,unidades_disponibles,1280.0,10.828125,12.263722747256615,1.0,1.0,1.0,3.0,7.0,14.0,33.0,69.42000000000007,96.0
df_raw_meli_vtas,parse_warnings,0.0,,,,,,,,,,,
df_raw_meli_vtas,posicion_pagina,44013.0,24.561856724149685,13.828646212905891,1.0,1.0,3.0,13.0,25.0,37.0,46.0,48.0,50.0
df_raw_meli_vtas,altura,36632.0,2223.067727669797,1831.707236504019,0.0,2.0,100.0,800.0,1800.0,3300.0,5500.0,8400.0,14600.0
df_raw_meli_vtas,comuna,43123.0,8.175150151891103,4.836005662252143,1.0,1.0,1.0,3.0,9.0,13.0,15.0,15.0,15.0
df_raw_meli_vtas,precio_anterior,40.0,6193.175,19919.24759145323,3.0,3.0,285.15000000000003,1575.25,1804.0,2100.0,6489.999999999813,94009.99999999997,110000.0
df_raw_meli_vtas,descuento_pct,40.0,-192046.8725,825205.1375236429,-4166566.67,-3815566.67,-182866.6699999994,-8898.23,-5658.115,-4615.179999999999,-2280.000000000007,0.0,0.0
df_raw_meli_vtas,precio_m2_min,43971.0,3222.805497259557,29689.56196227641,0.15,857.756,1307.69,2034.55,2693.48,3481.48,5635.85,8333.33,4619481.48
df_raw_meli_vtas,precio_m2_max,43971.0,3282.707489254281,29713.634796226535,0.15,928.0,1362.07,2083.92,2738.1,3536.23,5700.719999999999,8390.000000000007,4619481.48
df_raw_meli_vtas,amplitud_superficie_m2,43971.0,1.5477701212162562,14.076987390838575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,753.0
df_raw_meli_vtas,es_rango_superficie,43971.0,0.025676013736326216,0.1581686599977905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_vtas,es_rango_ambientes,43457.0,0.020111834687162024,0.14038448024583466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_vtas,monoambiente,44013.0,0.21568627450980393,0.41130226005305215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_vtas,apto_credito,44013.0,0.042964578647217866,0.20277957956426546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_vtas,balcon,44013.0,0.19001204189671234,0.3923148770747718,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_vtas,terraza,44013.0,0.06264058346397655,0.24231812741683753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
