dataset,columna,tipo_dato,tipo_variable,n_filas,nulos_iniciales,pct_nulos_iniciales,invalidos_tipo_faltante,pct_invalidos_tipo_faltante,min_cuantitativa,max_cuantitativa,n_labels_categorica,comentario_usabilidad_calidad
df_raw_meli_alq,descuento_pct,float64,cuantitativa,11479,11458,99.82,0,0.0,-58984.19,0.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq,dormitorios_min,float64,cuantitativa,11479,11436,99.63,0,0.0,1.0,2.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq,dormitorios_max,float64,cuantitativa,11479,11436,99.63,0,0.0,1.0,2.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq,inmobiliaria,str,categorica/texto/fecha,11479,10251,89.3,0,0.0,,,75.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,parse_warnings,float64,cuantitativa,6190,6190,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,precio_anterior,float64,cuantitativa,6190,6187,99.95,0,0.0,1354.0,699000.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,descuento_pct,float64,cuantitativa,6190,6187,99.95,0,0.0,-58984.19,0.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,posesion,object,categorica/texto/fecha,6190,6180,99.84,0,0.0,,,3.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,unidades_disponibles,float64,cuantitativa,6190,6180,99.84,0,0.0,1.0,25.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,dormitorios_min,float64,cuantitativa,6190,6179,99.82,0,0.0,1.0,2.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,dormitorios_max,float64,cuantitativa,6190,6179,99.82,0,0.0,1.0,2.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,estado_entrega,object,categorica/texto/fecha,6190,6179,99.82,0,0.0,,,2.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,inmobiliaria,str,categorica/texto/fecha,6190,5558,89.79,0,0.0,,,39.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq_temp,altura,float64,cuantitativa,6190,1406,22.71,0,0.0,0.0,118500.0,,media: usable con controles y posible segmentación
df_raw_meli_vtas,parse_warnings,float64,cuantitativa,44013,44013,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_vtas,precio_anterior,float64,cuantitativa,44013,43973,99.91,0,0.0,3.0,110000.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_vtas,descuento_pct,float64,cuantitativa,44013,43973,99.91,0,0.0,-4166566.67,0.0,,baja: faltantes muy altos; usar solo como referencia secundaria
